
 wsid         | year | month | day | system.max(temperature) | system.min(temperature) | system.avg(temperature) | system.avg(dewpoint) | system.avg(dewpoint)
 725030:14732 | 2013 |    12 |  29 |                      10 |                       0 |                 6.80417 |               81.875 |               81.875
 725030:14732 | 2013 |    12 |  28 |                    12.8 |                       0 |                   5.675 |             36.32917 |             36.32917
 725030:14732 | 2013 |    12 |  27 |                     4.4 |                       0 |                   1.975 |              34.2875 |              34.2875
 725030:14732 | 2013 |    12 |  26 |                     2.2 |                    -2.8 |               -0.116667 |              34.0375 |              34.0375
 725030:14732 | 2013 |    12 |  25 |                     2.2 |                    -6.7 |                -3.47917 |             29.00417 |             29.00417
 725030:14732 | 2013 |    12 |  24 |                    10.6 |                       0 |                 3.77083 |              38.1625 |              38.1625
 725030:14732 | 2013 |    12 |  23 |                    17.8 |                       0 |                13.93333 |             52.69167 |             52.69167
 725030:14732 | 2013 |    12 |  22 |                    20.6 |                       0 |                14.10417 |             52.22917 |             52.22917
 725030:14732 | 2013 |    12 |  21 |                    15.6 |                       0 |                 11.5375 |              47.5875 |              47.5875
 725030:14732 | 2013 |    12 |  20 |                    10.6 |                       0 |                 7.08333 |             39.91667 |             39.91667
 725030:14732 | 2013 |    12 |  19 |                     6.7 |                    -0.6 |                 2.32083 |             35.37083 |             35.37083
 725030:14732 | 2013 |    12 |  18 |                     2.8 |                    -4.4 |                -1.68333 |             34.64583 |             34.64583
 725030:14732 | 2013 |    12 |  17 |                       0 |                    -4.4 |                -2.55652 |             34.67391 |             34.67391
 725030:14732 | 2013 |    12 |  16 |                     3.3 |                    -2.8 |               -0.608333 |             31.54583 |             31.54583
 725030:14732 | 2013 |    12 |  15 |                     3.9 |                    -3.9 |                0.854167 |             39.76667 |             39.76667
 725030:14732 | 2013 |    12 |  14 |                     1.7 |                    -4.4 |                -1.95833 |             34.05833 |             34.05833
 725030:14732 | 2013 |    12 |  13 |                     1.7 |                    -4.4 |                -1.92083 |                27.65 |                27.65
 725030:14732 | 2013 |    12 |  12 |                     0.6 |                      -5 |                  -2.425 |             29.09167 |             29.09167
 725030:14732 | 2013 |    12 |  11 |                     0.6 |                    -2.8 |                 -0.7125 |               31.375 |               31.375
 725030:14732 | 2013 |    12 |  10 |                     3.9 |                       0 |                 2.00833 |             40.34583 |             40.34583
 725030:14732 | 2013 |    12 |   9 |                     3.9 |                    -1.7 |                 1.36667 |               41.325 |               41.325
 725030:14732 | 2013 |    12 |   8 |                     3.3 |                      -2 |                    0.05 |                 33.2 |                 33.2
 725030:14732 | 2013 |    12 |   7 |                     6.1 |                       0 |                     3.3 |             39.94583 |             39.94583
 725030:14732 | 2013 |    12 |   6 |                    14.4 |                       0 |                    9.75 |             49.63333 |             49.63333
 725030:14732 | 2013 |    12 |   5 |                    13.3 |                       0 |                  8.9875 |                48.65 |                48.65
 725030:14732 | 2013 |    12 |   4 |                     9.4 |                       0 |                 6.30833 |              42.4375 |              42.4375
 725030:14732 | 2013 |    12 |   3 |                    11.7 |                       0 |                 6.45833 |             43.07917 |             43.07917
 725030:14732 | 2013 |    12 |   2 |                     8.9 |                       0 |                    6.45 |              42.4375 |              42.4375
 725030:14732 | 2013 |    12 |   1 |                     8.9 |                       0 |                 4.90833 |             39.82917 |             39.82917
 725030:14732 | 2013 |    11 |  30 |                     2.8 |                    -3.9 |               -0.341667 |             32.47083 |             32.47083
 725030:14732 | 2013 |    11 |  29 |                     3.3 |                       0 |                 1.13333 |               31.975 |               31.975
 725030:14732 | 2013 |    11 |  28 |                     3.9 |                    -0.6 |                 1.06667 |                33.15 |                33.15
 725030:14732 | 2013 |    11 |  27 |                      15 |                       0 |                 8.65833 |             48.50833 |             48.50833
 725030:14732 | 2013 |    11 |  26 |                     4.4 |                       0 |                   2.175 |             33.62917 |             33.62917
 725030:14732 | 2013 |    11 |  25 |                     1.7 |                    -4.4 |                -2.09167 |               28.925 |               28.925

 wsid         | year | month | day | system.max(temperature) | system.min(temperature) | system.avg(temperature) | system.avg(dewpoint) | system.avg(dewpoint)
--------------+------+-------+-----+-------------------------+-------------------------+-------------------------+----------------------+----------------------
 725030:14732 | 2013 |    11 |  24 |                     5.6 |                    -4.4 |                -1.46667 |               29.875 |               29.875
